hello-world|Hello World
values|Значения
variables|Переменные
constants|Константы
for|Цикл for
if-else|Условие if/else
switch|Switch
arrays|Массивы
slices|Срезы
maps|Словари (мапы, хеш-таблица)
functions|Функции
multiple-return-values|Множественные возвращаемые значения
variadic-functions|Вариативные функции
closures|Замыкания
recursion|Рекурсия
range-over-built-in-types|Range по встроенным типам
pointers|Указатели
strings-and-runes|Строки и руны
structs|Структуры
methods|Методы
interfaces|Интерфейсы
enums|Перечисления (enum)
struct-embedding|Встраивание структур
generics|Дженерики
range-over-iterators|Range по итераторам
errors|Ошибки
custom-errors|Пользовательские ошибки
goroutines|Горутины
channels|Каналы
channel-buffering|Буферизация каналов
channel-synchronization|Синхронизация каналов
channel-directions|Направления каналов
select|Select
timeouts|Таймауты
non-blocking-channel-operations|Неблокирующие операции с каналами
closing-channels|Закрытие каналов
range-over-channels|Range по каналам
timers|Таймеры
tickers|Тикеры
worker-pools|Пул воркеров
waitgroups|WaitGroups
rate-limiting|Ограничение частоты запросов
atomic-counters|Атомарные счётчики
mutexes|Мьютексы
stateful-goroutines|Горутины с состоянием
sorting|Сортировка
sorting-by-functions|Сортировка с функцией сравнения
panic|Паника (panic)
defer|Отложенный вызов (defer)
recover|Восстановление (recover)
string-functions|Строковые функции
string-formatting|Форматирование строк
text-templates|Текстовые шаблоны
regular-expressions|Регулярные выражения
json|JSON
xml|XML
time|Время
epoch|Эпоха Unix
time-formatting-parsing|Форматирование и парсинг времени
random-numbers|Случайные числа
number-parsing|Парсинг чисел
url-parsing|Парсинг URL
sha256-hashes|Хеши SHA256
base64-encoding|Кодирование Base64
reading-files|Чтение файлов
writing-files|Запись файлов
line-filters|Строковые фильтры
file-paths|Пути к файлам
directories|Директории
temporary-files-and-directories|Временные файлы и директории
embed-directive|Директива Embed
testing-and-benchmarking|Тестирование и бенчмаркинг
command-line-arguments|Аргументы командной строки
command-line-flags|Флаги командной строки
command-line-subcommands|Подкоманды командной строки
environment-variables|Переменные окружения
logging|Логирование
http-client|HTTP-клиент
http-server|HTTP-сервер
tcp-server|TCP-сервер
context|Контекст
spawning-processes|Порождение процессов
execing-processes|Exec процессов
signals|Сигналы
exit|Завершение программы (exit)
